公司名稱,統編
臺灣水泥股份有限公司,11913502
亞洲水泥股份有限公司,03244509
嘉新水泥股份有限公司,11892801
環球水泥股份有限公司,07568009
幸福水泥股份有限公司,40601248
信大水泥股份有限公司,03279507
東南水泥股份有限公司,83078600
味全食品工業股份有限公司,11347802
味王股份有限公司,07067309
大成長城企業股份有限公司,73008303
大西洋飲料股份有限公司,35012903
台灣卜蜂企業股份有限公司,36514783
統一企業股份有限公司,73251209
愛之味股份有限公司,65534366
泰山企業股份有限公司,59661701
福壽實業股份有限公司,56192402
台榮產業股份有限公司,03543210
福懋油脂股份有限公司,22102298
佳格食品股份有限公司,22102473
聯華實業控股股份有限公司,11996904
聯華食品工業股份有限公司,07569627
大統益股份有限公司,20927014
天仁茶業股份有限公司,18559415
黑松股份有限公司,20651901
興泰實業股份有限公司,85617982
宏亞食品股份有限公司,34106066
鮮活控股股份有限公司,
台灣塑膠工業股份有限公司,
南亞塑膠工業股份有限公司,75370905
台灣聚合化學品股份有限公司,11917107
華夏海灣塑膠股份有限公司,11686106
三芳化學工業股份有限公司,83387850
亞洲聚合股份有限公司,20747385
台達化學工業股份有限公司,11893409
台灣苯乙烯工業股份有限公司,20844865
國喬石油化學股份有限公司,04212250
聯成化學科技股份有限公司,04748660
中國石油化學工業開發(股)公司,03084741
達新工業股份有限公司,51059101
上曜建設開發股份有限公司,73654033
東陽實業廠股份有限公司,68326665
大洋塑膠工業股份有限公司,15024509
永裕塑膠工業股份有限公司,68192103
地球綜合工業股份有限公司,07147916
恒大股份有限公司,11455800
台灣化學纖維股份有限公司,
亞洲塑膠再生資源控股有限公司,
廣華控股有限公司,
昭輝實業股份有限公司,22078327
勝悅新材料有限公司,
富林塑膠工業(開曼)控股(股)公司,
八貫企業股份有限公司,12386676
遠東新世紀股份有限公司,03522600
新光合成纖維股份有限公司,07435515
南洋染整股份有限公司,35286207
宏洲纖維工業股份有限公司,07220710
東和紡織股份有限公司,73141105
廣豐實業股份有限公司,43434316
嘉裕股份有限公司,11825825
東華龍股份有限公司,11083148
新光紡織股份有限公司,07435901
利華羊毛工業股份有限公司,11311608
大魯閣實業股份有限公司,04690983
福懋興業股份有限公司,14001199
中福國際(股)公司,03101946
華友聯開發股份有限公司,07510318
勤益投資控股股份有限公司,35535607
三地開發地產股份有限公司,03561011
雋揚國際股份有限公司,11113403
臺南紡織股份有限公司,68919301
大東紡織股份有限公司,51037304
名軒開發股份有限公司,04615057
立益物流開發股份有限公司,04287483
力麗企業股份有限公司,07663290
大宇紡織股份有限公司,07015014
宏和精密紡織股份有限公司,73641170
力鵬企業股份有限公司,33955322
佳和實業股份有限公司,72055019
年興紡織股份有限公司,22266307
宏益纖維工業股份有限公司,43121481
大將開發股份有限公司,07617901
台灣富綢纖維股份有限公司,04301794
集盛實業股份有限公司,43295237
怡華實業股份有限公司,33144175
宜進實業股份有限公司,07669338
聯發紡織纖維股份有限公司,33653494
宏遠興業股份有限公司,22817999
強盛新股份有限公司,07715023
得力實業股份有限公司,73686632
偉全實業股份有限公司,33700601
聚隆纖維股份有限公司,22976047
南緯實業股份有限公司,69559487
昶和纖維興業股份有限公司,36123364
大統新創股份有限公司,22267777
首利實業股份有限公司,07699023
三洋實業股份有限公司,07029919
台南企業股份有限公司,
弘裕企業股份有限公司,58003997
台灣業旺股份有限公司,23912057
儒鴻企業股份有限公司,35884479
聚陽實業股份有限公司,23609668
士林電機廠股份有限公司,11039306
東元電機股份有限公司,11332202
正道工業股份有限公司,68193807
瑞利企業股份有限公司,27363047
中興電工機械股份有限公司,33029464
亞力電機股份有限公司,03213392
力山工業股份有限公司,55759180
川飛能源股份有限公司,22071751
利奇機械工業股份有限公司,59008318
華城電機股份有限公司,33284077
大億交通工業製造股份有限公司,69408876
堤維西交通工業股份有限公司,22269487
耿鼎企業股份有限公司,22081250
江申工業股份有限公司,35129100
日馳企業股份有限公司,11099726
鑽全實業股份有限公司,20982120
恩德科技股份有限公司,11551634
樂事綠能科技股份有限公司,34211074
亞崴機電股份有限公司,22224692
高林股份有限公司,29538509
勤美股份有限公司,03474311
車王電子股份有限公司,04827138
中宇環保工程股份有限公司,84252401
和大工業股份有限公司,52264848
廣隆光電科技股份有限公司,23556563
正峰工業股份有限公司,44947686
巨庭機械股份有限公司,52646207
喬福機械工業股份有限公司,52903090
錩泰工業股份有限公司,23248433
伸興工業股份有限公司,55754185
中國砂輪企業股份有限公司,03089008
巧新科技工業股份有限公司,84980915
倉佑實業股份有限公司,66654986
信錦企業股份有限公司,35966577
程泰機械股份有限公司,52353530
吉茂精密股份有限公司,24157564
永冠能源科技集團有限公司,
亞德客國際集團,
直得科技股份有限公司,16755427
岱宇國際股份有限公司,23751545
中華電線電纜股份有限公司,35882520
聲寶股份有限公司,03607500
華新麗華股份有限公司,35412204
華榮電線電纜股份有限公司,79460007
大亞電線電纜股份有限公司,68035907
中國電器股份有限公司,03086001
宏泰電工股份有限公司,43125162
台灣三洋電機股份有限公司,03564501
大山電線電纜股份有限公司,64829434
億泰電線電纜股份有限公司,22819700
榮星電線工業股份有限公司,73341336
合機電線電纜股份有限公司,23206102
艾美特(開曼)國際有限公司,
南僑投資控股股份有限公司,07305506
葡萄王生技股份有限公司,11880517
東南實業股份有限公司,11384405
和益化學工業股份有限公司,04312878
東聯化學股份有限公司,14057995
臺灣永光化學工業股份有限公司,15458455
興農股份有限公司,51911712
國泰化工廠股份有限公司,03375001
和桐化學股份有限公司,12526607
長興材料工業股份有限公司,75339004
中國人造纖維股份有限公司,07066907
生達化學製藥股份有限公司,71122503
三晃股份有限公司,55738290
台灣肥料股份有限公司,03795101
中鋼碳素化學股份有限公司,23221384
元禎企業股份有限公司,12132033
永記造漆工業股份有限公司,75137605
臺灣中華化學工業股份有限公司,03558206
花仙子企業股份有限公司,07708830
美吾華股份有限公司,14089976
毛寶股份有限公司,34245356
五鼎生物技術股份有限公司,16130182
杏輝藥品工業股份有限公司,42042734
日勝化工股份有限公司,23263551
喬山健康科技股份有限公司,52347361
臺鹽實業股份有限公司,89397503
南光化學製藥股份有限公司,69275313
寶齡富錦生技股份有限公司,04742997
中化合成生技股份有限公司,03088704
勝一化工股份有限公司,75970680
展宇科技材料股份有限公司,47061800
和康生物科技股份有限公司,16749811
科妍生物科技股份有限公司,13159100
台灣神隆股份有限公司,16130161
美時化學製藥股份有限公司,11456110
台灣玻璃工業股份有限公司,11914002
寶徠建設股份有限公司,12179563
冠軍建材股份有限公司,49701774
潤隆建設股份有限公司,34149369
中國製釉股份有限公司,47056834
和成欣業股份有限公司,03228304
凱撒衛浴股份有限公司,22746550
士林紙業股份有限公司,11038101
正隆股份有限公司,33085508
中華紙漿股份有限公司,94025264
寶隆國際股份有限公司,12030606
永豐餘投資控股股份有限公司,85066002
榮成紙業股份有限公司,34202841
中國鋼鐵股份有限公司,30414175
東和鋼鐵企業股份有限公司,75280209
燁興企業股份有限公司,75992214
高興昌鋼鐵股份有限公司,75466009
第一伸銅科技股份有限公司,82001528
春源鋼鐵工業股份有限公司,11529802
春雨工廠股份有限公司,88187108
中國鋼鐵結構股份有限公司,85800192
中鴻鋼鐵股份有限公司,07838854
豐興鋼鐵股份有限公司,55389357
官田鋼鐵股份有限公司,72065240
美亞鋼管廠股份有限公司,44680700
聚亨企業股份有限公司,79841479
燁輝企業股份有限公司,75947936
志聯工業股份有限公司,43633504
千興不銹鋼(股)公司,70005915
大成不銹鋼工業股份有限公司,22318348
威致鋼鐵工業股份有限公司,69771636
盛餘股份有限公司,79837539
彰源企業股份有限公司,60330130
新光鋼鐵股份有限公司,35836625
新鋼工業股份有限公司,34008635
佳大世界股份有限公司,72072615
允強實業股份有限公司,59068700
海光企業股份有限公司,75470524
上銀科技股份有限公司,23503047
川湖科技股份有限公司,22274989
橋椿金屬股份有限公司,59353423
運錩鋼鐵股份有限公司,22533297
南港輪胎股份有限公司,11520909
泰豐輪胎股份有限公司,44721408
台橡股份有限公司,03553737
國際中橡投資控股股份有限公司,04382114
正新橡膠工業股份有限公司,59504506
建大工業股份有限公司,59619900
厚生股份有限公司,03283306
南帝化學工業股份有限公司,12209807
華豐橡膠工業股份有限公司,59760104
鑫永銓股份有限公司,51704734
六暉控股股份有限公司,54982599
裕隆汽車製造股份有限公司,03489200
中華汽車工業股份有限公司,03098415
三陽工業股份有限公司,24004006
和泰汽車股份有限公司,03251108
台灣國際造船股份有限公司,04695235
長榮鋼鐵股份有限公司,81188829
裕隆日產汽車股份有限公司,80032530
